	faith_pd
121797.13850.113	8.041353959827786
121797.13850.1	10.411332128882648
121797.13850.120	11.79575729350675
121797.13850.106	7.421060158816506
121797.13850.107	12.328527836684426
121797.13850.121	6.718182913001399
121797.13850.100	8.681196932090119
121797.13850.114	7.830650509590452
121797.13850.128	13.056176381099203
121797.13850.108	7.9450886696702305
121797.13850.10	14.91716145728835
121797.13850.129	9.02767957894387
121797.13850.122	6.355113082250269
121797.13850.101	6.087178902934169
121797.13850.11	11.7411519693804
121797.13850.13	15.395946579131447
121797.13850.110	10.837965355687594
121797.13850.130	7.422241015512656
121797.13850.116	11.185917740065971
121797.13850.124	12.430534584281876
121797.13850.111	7.276379724558138
121797.13850.117	7.116794463327085
121797.13850.126	5.938377894877419
121797.13850.118	6.536745695596911
121797.13850.132	8.857042031989948
121797.13850.136	14.57947410616236
121797.13850.127	8.840866022935122
121797.13850.12	11.639245024290346
121797.13850.21	12.305487939066257
121797.13850.22	12.814081251411455
121797.13850.144	11.217641658736866
121797.13850.14	12.028306054890745
121797.13850.23	6.155071284732484
121797.13850.150	16.6589593769801
121797.13850.24	7.704619746372922
121797.13850.146	12.223792781945008
121797.13850.151	9.605641780911483
121797.13850.25	12.225743740514211
121797.13850.142	11.696318124506664
121797.13850.27	12.865709629566314
121797.13850.16	9.41908178489369
121797.13850.29	10.384539512170157
121797.13850.28	11.4984397665621
121797.13850.149	13.732496175979097
121797.13850.30	11.515134956071503
121797.13850.15	16.763340538160048
121797.13850.36	16.20899724664218
121797.13850.31	6.5971719699540925
121797.13850.43	12.476426104294223
121797.13850.37	11.213290922535576
121797.13850.38	12.749888085577574
121797.13850.32	8.968482083049539
121797.13850.44	9.389995868195893
121797.13850.39	12.912878961853249
121797.13850.34	11.23373858602416
121797.13850.4	9.940784962760805
121797.13850.45	14.18880718836964
121797.13850.40	6.2079657981882095
121797.13850.35	11.697049596004966
121797.13850.46	9.894069937611535
121797.13850.41	8.947934720481872
121797.13850.52	8.738783693357163
121797.13850.42	7.6800170711360405
121797.13850.53	7.764230007662617
121797.13850.47	13.003819608993492
121797.13850.48	14.74805130341973
121797.13850.58	11.18073442725946
121797.13850.54	12.38440482396701
121797.13850.49	11.001799700443168
121797.13850.59	8.689235386303793
121797.13850.17	13.70896705688233
121797.13850.102	9.544777349927234
121797.13850.56	6.671447143367802
121797.13850.6	14.30111850385386
121797.13850.18	16.376982063291663
121797.13850.57	11.223851618894894
121797.13850.73	5.202944017289107
121797.13850.60	14.171551932430491
121797.13850.65	12.265471767602488
121797.13850.105	12.198743967907973
121797.13850.2	13.652623985387704
121797.13850.61	15.603778040576064
121797.13850.74	13.086062973639674
121797.13850.80	3.9538660153689005
121797.13850.63	7.206856493569417
121797.13850.75	8.123462640851109
121797.13850.67	4.099359918552934
121797.13850.20	16.487251716404078
121797.13850.64	13.032346589967318
121797.13850.78	7.231469432605332
121797.13850.88	4.671097536011701
121797.13850.81	8.678039045651717
121797.13850.95	8.57670621654928
121797.13850.69	10.071529559400625
121797.13850.89	5.373480532403711
121797.13850.79	10.624787855135372
121797.13850.96	4.03640887490801
121797.13850.82	6.387514863409394
121797.13850.9	7.5291961609707805
121797.13850.7	12.902229477191588
121797.13850.70	12.165150168164441
121797.13850.8	12.651777695686985
121797.13850.97	6.345277033652604
121797.13850.83	15.804527326609684
121797.13850.90	9.889269222075342
121797.13850.98	12.042526822178713
121797.13850.91	9.568198155457189
121797.13850.99	8.342274216399826
121797.13850.71	14.038410038611346
121797.13850.84	8.73949929551786
121797.13850.94	14.825646504189802
121797.13850.85	11.576321367797291
121797.13850.86	11.386741703997998
121797.13850.87	8.389333633708077
